"variable","contribution","variable_name","variable_value","cummulative","sign","position"
"(Intercept)",5.87790935075531,"Intercept","1",5.87790935075531,"1",1
"residual.sugar = 20.7",1.16590361872566,"residual.sugar","20.7",7.04381296948097,"1",2
"density = 1.001",-1.04787501230934,"density","1.001",5.99593795717163,"-1",3
"alcohol = 8.8",-0.331669012263563,"alcohol","8.8",5.66426894490807,"-1",4
"pH = 3",-0.129215629776821,"pH","3",5.53505331513125,"-1",5
"free.sulfur.dioxide = 45",0.0361776432105841,"free.sulfur.dioxide","45",5.57123095834183,"1",6
"sulphates = 0.45",-0.0251623648792701,"sulphates","0.45",5.54606859346256,"-1",7
"volatile.acidity = 0.27",0.015354663806671,"volatile.acidity","0.27",5.56142325726923,"1",8
"fixed.acidity = 7",0.00951430635229798,"fixed.acidity","7",5.57093756362153,"1",9
"total.sulfur.dioxide = 170",-0.00904086047459966,"total.sulfur.dioxide","170",5.56189670314693,"-1",10
"citric.acid = 0.36",0.000570114795413751,"citric.acid","0.36",5.56246681794235,"1",11
"chlorides = 0.045",0.000190985532523823,"chlorides","0.045",5.56265780347487,"1",12
"final_prognosis",5.56265780347487,"","",5.56265780347487,"X",13
